node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.798666,201.333837,0.0,0.653028
1,7,99999.838933,161.06707,0.0,1.435995
1,16,99999.758399,241.600604,0.0,1.33574
2,4,99999.838933,161.06707,0.0,0.934601
2,7,99999.798666,201.333837,0.0,1.342297
2,12,99999.838933,161.06707,0.0,1.315951
2,13,99999.838933,161.06707,0.0,1.625061
2,18,24999.838933,161.06707,0.0,0.97537
2,23,24999.791964,208.036239,0.0,1.293302
3,10,99999.798675,201.325392,0.0,1.17898
3,11,24999.798675,201.325392,0.0,1.220703
3,14,1549.798675,201.325392,0.0,0.136018
3,21,99999.798675,201.325392,0.0,1.283765
4,16,99999.798675,201.325392,0.0,1.266956
5,8,24999.798666,201.333837,0.0,0.928164
5,16,24999.838933,161.06707,0.0,0.957012
6,7,1549.798666,201.333837,0.0,1.617193
6,19,1549.798666,201.333837,0.0,1.343727
7,17,99999.798675,201.325392,0.0,1.835585
7,19,24999.83894,161.060314,0.0,1.539588
7,21,99999.791964,208.036239,0.0,1.476526
8,9,24999.758399,241.600604,0.0,1.119733
9,15,24999.7987,201.300072,0.0,1.178622
9,16,99999.798666,201.333837,0.0,1.340985
10,11,24999.798675,201.325392,0.0,0.94676
10,12,99999.798666,201.333837,0.0,0.209451
10,16,99999.75841,241.590471,0.0,1.036167
10,17,99999.711434,288.566395,0.0,1.078129
12,22,99999.838926,161.073826,0.0,0.907183
13,14,1549.838933,161.06707,0.0,2.111435
13,17,99999.798666,201.333837,0.0,1.551509
13,19,24999.838933,161.06707,0.0,1.877427
15,20,24999.838967,161.033302,0.0,1.204014
17,20,99999.798675,201.325392,0.0,1.682043
17,23,24999.83894,161.060314,0.0,0.968933
18,21,24999.838933,161.06707,0.0,1.232266
20,22,24999.838933,161.06707,0.0,1.183033
