node1,node2,available_bandwidth,throughput,delay,packet_loss
14,13,1550.0,0.0,0.369,0
14,3,1549.763,0.237,0.334,0.01
13,14,1549.763,0.237,0.37,0.01
13,17,100000.0,0.0,0.244,0
13,2,100000.0,0.0,1.014,0
13,19,25000.0,0.0,0.325,0
19,7,25000.0,0.0,0.001,0
19,13,24999.763,0.237,0.325,0.01
19,6,1549.763,0.237,0.359,0.01
7,19,24999.763,0.237,0.001,0.01
7,17,100000.0,0.0,0.173,0
7,2,100000.0,0.0,0.433,0
7,1,100000.0,0.0,72.724,0
7,21,99999.763,0.237,0.001,0.01
7,6,1549.763,0.237,0.001,0.01
17,13,99999.763,0.237,0.244,0.01
17,7,99999.763,0.237,0.173,0.01
17,23,24999.763,0.237,0.778,0.01
17,20,99999.763,0.237,0.257,0.01
17,10,100000.0,0.0,0.001,0
23,17,25000.0,0.0,0.778,0
23,2,25000.0,0.0,0.438,0
20,17,99999.763,0.237,0.258,0.01
20,15,24999.763,0.237,0.001,0.01
20,22,24999.763,0.237,2.625,0.01
2,13,99999.763,0.237,1.014,0.01
2,7,99999.763,0.237,0.433,0.01
2,23,24999.763,0.237,0.438,0.01
2,4,99999.763,0.237,0.817,0.01
2,12,99999.763,0.237,0.427,0.01
2,18,24999.763,0.237,0.376,0.01
4,2,100000.0,0.0,0.816,0
4,16,100000.0,0.0,0.001,0
12,2,100000.0,0.0,0.427,0
12,22,100000.0,0.0,0.01,0
12,10,100000.0,0.0,0.001,0
18,2,24999.763,0.237,0.376,0.01
18,21,24999.763,0.237,0.653,0.01
16,4,99999.763,0.237,0.001,0.01
16,5,24999.763,0.237,0.001,0.01
16,9,100000.0,0.0,0.001,0
16,1,100000.0,0.0,0.001,0
16,10,100000.0,0.0,0.001,0
5,16,24999.763,0.237,0.001,0.01
5,8,24999.763,0.237,0.199,0.01
15,20,25000.0,0.0,0.001,0
15,9,25000.0,0.0,0.001,0
22,12,99999.763,0.237,0.01,0.01
22,20,24999.763,0.0,2.626,100.0
9,16,100000.0,0.0,0.001,0
9,15,24999.763,0.237,0.001,0.01
9,8,24999.763,0.237,0.001,0.01
1,16,100000.0,0.0,0.001,0
1,7,99999.763,0.237,72.724,0.01
1,3,99999.763,0.237,1.033,0.01
10,16,100000.0,0.0,0.001,0
10,12,100000.0,0.0,0.001,0
10,17,100000.0,0.0,0.001,0
10,11,25000.0,0.0,0.003,0
10,3,100000.0,0.0,0.001,0
11,10,25000.0,0.0,0.004,0
11,3,24999.763,0.237,0.635,0.01
3,10,100000.0,0.0,0.001,0
3,1,100000.0,0.0,1.033,0
3,11,25000.0,0.0,0.635,0
3,14,1550.0,0.0,0.334,0
3,21,99999.763,0.237,0.101,0.01
21,7,100000.0,0.0,0.001,0
21,3,100000.0,0.0,0.101,0
21,18,25000.0,0.0,0.653,0
6,7,1550.0,0.0,0.001,0
6,19,1550.0,0.0,0.358,0
8,9,25000.0,0.0,0.001,0
8,5,24999.763,0.237,0.199,0.01
