node1,node2,free_bw,used_bw,pkloss,delay
1,3,99999.798472,201.528279,0.0,1.493812
1,7,99999.798463,201.536735,0.0,1.396179
1,16,99999.798429,201.570574,0.0,1.953959
2,4,99999.798489,201.511336,0.0,1.983404
2,7,99999.798489,201.511336,0.0,1.185417
2,12,99999.79848,201.519795,0.0,1.268864
2,13,99999.75149,248.509788,0.0,1.22118
2,18,24999.79848,201.519795,0.0,1.520276
2,23,24999.798489,201.511336,0.0,0.0
3,10,99999.751522,248.478489,0.0,1.957297
3,11,24999.798497,201.502884,0.0,1.664042
3,14,1549.798539,201.460589,0.0,1.431108
3,21,99999.798497,201.502884,0.0,1.702547
4,16,99999.79848,201.519798,0.0,1.70958
5,8,24999.798506,201.494418,0.0,1.378775
5,16,24999.798472,201.528257,0.0,1.387
6,7,1549.838771,161.229388,0.0,1.616955
6,19,1549.838723,161.276774,0.0,1.717806
7,17,99999.838804,161.195535,0.0,0.659823
7,19,24999.798463,201.536735,0.0,1.439214
7,21,99999.838791,161.209073,0.0,1.106977
8,9,24999.798497,201.502879,0.0,1.769662
9,15,24999.798497,201.502879,0.0,0.467777
9,16,99999.798463,201.536718,0.0,0.4071
10,11,24999.838791,161.209073,0.0,0.959158
10,12,99999.838811,161.18877,0.0,1.298308
10,16,99999.838791,161.209073,0.0,1.947522
10,17,99999.838811,161.18877,0.0,1.278996
12,22,99999.798489,201.511335,0.0,0.0
13,14,1549.798539,201.460589,0.0,1.581073
13,17,99999.798514,201.485962,0.0,0.612497
13,19,24999.798472,201.528279,0.0,0.818968
15,20,24999.798514,201.485962,0.0,0.71907
17,20,99999.838791,161.209068,0.0,1.106501
17,23,24999.838798,161.202301,0.0,0.0
18,21,24999.751448,248.551517,0.0,0.857711
20,22,24999.798489,201.511335,0.0,0.600696
