node1,node2,free_bw,used_bw,pkloss,delay
1,3,99593.753723,406246.277199,0.0,2.251983
1,7,97983.331375,2016668.624654,0.0,2.283692
1,16,88964.484101,11035515.899442,0.001551,1.798391
2,4,76022.281474,23977718.526045,0.004088,2.267361
2,7,89143.476807,10856523.192763,0.001076,2.922893
2,12,68935.389487,31064610.5132,0.001087,4.016995
2,13,94170.320524,5829679.475505,0.00262,2.748847
2,18,21729.387082,3270612.918455,0.0,0.571489
2,23,24759.758347,240241.652975,0.0,1.672983
3,10,98019.923659,1980076.3408,0.002062,2.372861
3,11,21325.182078,3674817.92247,0.001274,0.255823
3,14,834.688902,715311.098385,0.0,2.103209
3,21,95822.597751,4177402.248699,0.0,1.653552
4,16,81234.150025,18765849.974828,0.003658,2.575159
5,8,12653.70925,12346290.749649,0.001256,2.61867
5,16,1149.296862,23850703.13811,0.002433,1.23024
6,7,1265.779316,284220.684369,0.0,2.183557
6,19,1375.802391,174197.608865,0.0,0.20957
7,17,99999.798615,201.384519,0.0,1.960754
7,19,24396.687086,603312.914324,0.0,1.044512
7,21,95348.322941,4651677.058766,0.0,4.404306
8,9,24815.808021,184191.97852,0.0,1.147628
9,15,20949.11898,4050881.020305,0.001572,2.461791
9,16,84189.14583,15810854.170163,0.0,2.100825
10,11,15366.278166,9633721.833609,0.002357,1.926064
10,12,71734.370477,28265629.523204,0.003491,2.633214
10,16,84408.028229,15591971.770737,0.0,1.195788
10,17,78520.793648,21479206.352074,0.002007,2.498269
12,22,98711.58248,1288417.519718,0.0,1.255631
13,14,1001.660653,548339.347151,0.0,400.473714
13,17,94624.671272,5375328.727733,0.000925,2.783775
13,19,24229.144919,770855.080977,0.008378,2.151012
15,20,20526.047995,4473952.00537,0.001509,1.26493
17,20,93434.697097,6565302.903172,0.0,1.925588
17,23,24988.796308,11203.692069,0.0,0.746846
18,21,20468.038261,4531961.738547,0.0,2.529263
20,22,23868.608827,1131391.173016,0.0,2.405524
