node1,node2,available_bandwidth,throughput,delay,packet_loss
14,13,1547.932,2.069,1.323,0.01
14,3,1113.813,436.404,1.339,0.01
13,14,1517.192,32.791,1.323,0.01
13,2,100000.0,0.0,0.001,0
13,17,94602.797,5397.203,5.774,0.01
13,19,24824.076,175.837,1.737,0.01
23,2,24906.212,93.788,0.001,0.01
23,17,25000.0,0.0,0.527,0
2,23,24980.798,19.202,0.001,0.01
2,12,83421.713,16572.36,0.001,0.03
2,7,93624.239,6369.834,0.001,0.07
2,4,92337.384,7668.543,0.001,0
2,13,99999.761,0.239,0.001,0.01
2,18,24245.693,754.307,0.001,0.01
3,1,100000.0,0.0,0.783,0
3,11,21643.541,3362.387,2.433,0
3,21,99989.072,10.928,0.001,0.01
3,14,586.543,962.978,1.338,0.01
3,10,100000.0,0.0,1.453,0
1,3,100000.0,0.0,0.782,0
1,7,99330.636,669.697,1.645,0.01
1,16,93029.905,6955.779,0.824,0.25
10,12,70266.88399999999,29733.116,0.161,0.01
10,17,100000.0,0.0,0.001,0
10,3,99999.761,0.239,1.453,0.01
10,11,22153.73,2852.197,0.485,0
10,16,91248.099,8757.828,133.1,0
12,10,88826.908,11167.165,0.161,0.04
12,2,84233.762,15760.31,0.001,0.03
12,22,100000.0,0.0,0.657,0
11,3,23966.242,1033.758,2.434,0.01
11,10,15855.562,9138.51,0.485,0.06
6,19,1550.0,0.0,0.438,0
6,7,1390.04,160.04,1.81,0.01
19,6,1550.0,0.0,0.438,0
19,7,25000.0,0.0,1.386,0
19,13,24340.235,660.093,1.737,0.01
22,12,99999.761,0.239,0.657,0.01
22,20,24378.653,621.347,0.81,0.01
21,3,99977.213,22.787,0.001,0.01
21,7,98915.119,1084.881,1.032,0.01
21,18,24999.761,0.239,5.862,0.01
7,19,25000.0,0.0,1.386,0
7,2,80887.471,19118.456,0.001,0
7,21,99965.136,34.864,1.033,0.01
7,6,1407.742,142.187,1.81,0.01
7,1,99375.276,624.414,1.645,0.01
7,17,94647.177,5358.751,0.001,0
17,23,25000.0,0.0,0.527,0
17,10,100000.0,0.0,0.001,0
17,7,82754.626,17239.447,0.001,0.03
17,20,99706.824,293.176,1.096,0.01
17,13,98940.424,1059.576,5.774,0.01
4,2,98230.548,1769.452,0.001,0.01
4,16,100000.0,0.0,1.137,0
20,22,24980.559,19.441,0.811,0.01
20,17,98304.39,1695.61,1.096,0.01
20,15,24768.887,231.113,0.263,0.01
16,1,99802.327,197.575,0.824,0.01
16,5,9389.975,15610.025,133.796,0.01
16,9,100000.0,0.0,0.001,0
16,10,79897.965,20107.962,133.099,0
16,4,100000.0,0.0,1.137,0
5,16,5081.0380000000005,19913.034,133.796,0.03
5,8,15589.446,9410.554,0.001,0.01
8,5,11415.025,13584.975,0.001,0.01
8,9,19410.868000000002,5589.132,0.001,0.01
9,15,24952.633,47.367,0.001,0.01
9,16,100000.0,0.0,0.001,0
9,8,16901.203,8092.869,0.001,0.07
15,9,24983.769,16.231,0.001,0.01
15,20,24734.97,265.03,0.263,0.01
18,21,25000.0,0.0,5.862,0
18,2,23195.652000000002,1804.348,0.001,0.01
