node1,node2,free_bw,used_bw,delay,pkloss
1,3,99444.954188,555045.811518,0.931501,0.0
1,7,92429.328909,7570671.091044,2.283573,0.011663
1,16,88029.590669,11970409.331154,0.876069,0.01011
2,4,91779.971417,8220028.582621,1.749992,0.00125
2,7,95375.026992,4624973.008343,96.529484,0.003817
2,12,95677.755603,4322244.397186,2.122045,0.0
2,13,98608.950123,1391049.877076,0.880361,0.0
2,18,24000.498915,999501.085383,1.262665,0.0
2,23,24993.953869,6046.131196,0.915647,0.0
3,10,92622.265111,7377734.889024,1.166582,0.0
3,11,16361.825789,8638174.21117,2.329111,0.003443
3,14,714.15068,835849.320389,2.203107,0.0
3,21,92673.081623,7326918.376933,2.367854,0.001986
4,16,95709.929789,4290070.211104,2.616167,0.002009
5,8,19612.86658,5387133.419709,2.340913,0.003858
5,16,12010.791332,12989208.667904,3.22783,0.002361
6,7,1549.803681,196.31902,1.005411,0.0
6,19,1292.408377,257591.623037,2.756596,0.0
7,17,87825.823655,12174176.345493,2.831459,0.002576
7,19,23377.357862,1622642.137647,1.430631,0.0
7,21,94331.064502,5668935.498481,8.448482,0.003078
8,9,24669.775845,330224.154629,1.350403,0.0
9,15,24898.406674,101593.326379,1.610041,0.0
9,16,88906.024372,11093975.627709,1.973987,0.000428
10,11,24423.084516,576915.484483,1.61624,0.0
10,12,84449.388547,15550611.452946,0.056028,0.001281
10,16,89505.211614,10494788.38609,1.245975,0.001502
10,17,99276.345303,723654.697338,0.553608,0.0
12,22,98525.646982,1474353.018158,1.992822,0.0
13,14,1503.001227,46998.773006,0.785947,0.0
13,17,99147.643858,852356.142279,1.570702,0.0
13,19,24315.329051,684670.948832,2.542853,0.0
15,20,24850.620859,149379.141104,1.991272,0.0
17,20,98949.716574,1050283.425748,1.414537,0.0
17,23,24983.229184,16770.816293,1.04785,0.0
18,21,22931.083667,2068916.332706,1.615047,0.0
20,22,23870.740663,1129259.336885,1.815438,0.0
