node1,node2,available_bandwidth,throughput,delay,packet_loss
19,7,24213.654,780.782,0,0.005
19,6,1549.76,0.24,0,0.0
19,13,24973.068,26.972,0,0.0
7,19,24978.031,21.958,0,0.0
7,1,99443.808,561.59,0.284,0
7,6,1390.6,159.241,7.622,0.0
7,17,99973.268,26.745,48.855,0.0
7,21,99997.921,2.083,0.846,0.0
7,2,98465.368,1536.168,0.132,0.0
6,19,1550.0,0.0,0,0
6,7,1415.938,134.196,7.622,0.0
13,19,24713.36,286.211,0,0.0
13,14,1163.348,386.459,0.939,0.0
13,17,99680.368,319.792,0.276,0.0
13,2,98860.2,1134.975,0.426,0.004
1,3,99770.474,229.526,1.868,0.0
1,7,99687.752,312.56,0.284,0.0
1,16,92226.026,7795.504,0.592,0
3,1,99266.929,733.071,1.868,0.0
3,14,1342.527,207.576,2.04,0.0
3,10,99644.376,355.802,0.09,0.0
3,21,99989.341,10.675,1.312,0.0
3,11,23039.192,1963.752,2.844,0.0
14,3,1076.069,473.694,2.04,0.0
14,13,1422.464,127.6,0.939,0.0
10,3,99256.948,742.681,0.09,0.0
10,12,86678.589,13352.628,0,0
10,17,99680.376,319.944,0.755,0.0
10,16,92833.635,7189.057,1.089,0
10,11,23588.194,1413.926,0,0.0
15,20,24917.392,82.649,2.231,0.0
15,9,24604.136,396.062,0.904,0.0
20,15,24634.153,365.664,2.231,0.0
20,22,24890.113,109.887,1.064,0.0
20,17,99836.286,157.751,2.567,0.008
12,10,99205.019,794.187,0,0.0
12,22,99958.92,41.101,0.406,0.0
12,2,96027.85800000001,3974.13,1.912,0.0
22,12,99446.463,553.26,0.406,0.0
22,20,24921.369,78.631,1.065,0.0
8,5,21147.19,3854.736,0,0.0
8,9,24961.995,38.043,2.772,0.0
5,8,21549.852,3448.424,0,0.0
5,16,18177.524,6829.305,0,0.0
17,10,92175.028,7817.151,0.755,0.0
17,13,99747.41,252.464,0.276,0.0
17,7,99721.541,278.32,48.856,0.0
17,23,24991.676,8.32,1.051,0.0
17,20,99931.93,68.07,2.567,0.0
23,17,24958.152,41.869,1.051,0.0
23,2,24990.848,9.161,1.058,0.0
16,1,99275.031,723.52,0.592,0.0
16,10,91546.35800000001,8423.096,1.088,0.002
16,4,94647.728,5340.96,0.592,0.001
16,5,16575.019,8416.556,0,0.0
16,9,94034.76699999999,5962.249,1.364,0.0
4,16,99261.116,739.624,0.592,0.0
4,2,95422.488,4582.094,1.991,0.0
9,16,94160.424,5842.498,1.364,0.0
9,8,24911.24,88.672,2.772,0.0
9,15,24922.997,76.964,0.904,0.0
21,3,99838.835,160.924,1.312,0.0
21,7,99611.778,387.446,0.846,0.0
21,18,24997.678,2.321,7.14,0.0
18,21,24978.917,21.093,7.14,0.0
18,2,24099.462,900.989,0.763,0.0
2,13,99805.073,194.732,0.426,0.0
2,7,99488.729,510.76,0.132,0.0
2,4,96813.077,3183.736,1.991,0.0
2,23,24997.918,2.08,1.057,0.0
2,12,97829.485,2169.429,1.913,0.0
2,18,24991.672,8.324,0.763,0.0
11,3,24927.624,72.268,2.844,0.0
11,10,20264.689,4728.212,0,0.0
