node1,node2,free_bw,used_bw,pkloss,delay
1,3,98848.515596,1151484.404282,0.0,0.477433
1,7,99770.448838,229551.162244,0.0,0.537753
1,16,98778.049007,1221950.993084,0.000111,0.402093
2,4,99734.71073,265289.269958,0.0,0.482202
2,7,97033.501992,2966498.007548,0.0,0.4251
2,12,97395.924247,2604075.752628,0.0,0.434995
2,13,98796.807589,1203192.410625,0.0,0.388622
2,18,24275.305752,724694.247898,0.0,0.392318
2,23,24589.489823,410510.176763,0.0,0.511646
3,10,99218.540928,781459.071643,0.0,0.797153
3,11,24997.326896,2673.104156,0.0,0.648975
3,14,0.0,2836169.136008,0.0,263.502479
3,21,97510.596253,2489403.747188,0.0,0.530243
4,16,99970.558562,29441.438442,0.0,0.467062
5,8,24775.507242,224492.758448,0.0,0.595212
5,16,24531.469096,468530.903546,0.0,0.398636
6,7,1321.741812,228258.188418,0.0,0.371695
6,19,1197.423156,352576.843699,0.0,0.435829
7,17,99665.375119,334624.880923,0.0,0.764608
7,19,22032.668974,2967331.026159,0.0,0.457764
7,21,99652.980602,347019.398059,0.0,0.359178
8,9,24999.840173,159.826855,0.0,0.388503
9,15,24998.803962,1196.037634,0.0,0.367999
9,16,99489.746846,510253.15385,0.0,0.145078
10,11,24625.38144,374618.559967,0.0,0.411034
10,12,99461.047441,538952.559086,0.0,0.453711
10,16,99524.173794,475826.20606,0.0,0.36788
10,17,98864.292318,1135707.682248,0.0,0.419617
12,22,99374.600927,625399.073123,0.0,1.077771
13,14,0.0,2651240.219744,0.0,908.413172
13,17,98638.258623,1361741.376646,0.0,0.465035
13,19,22247.654358,2752345.64203,0.0,0.426173
15,20,24980.769769,19230.231397,0.0,0.493526
17,20,99983.100345,16899.654585,0.0,0.3618
17,23,24644.795604,355204.395671,0.0,0.455141
18,21,23002.260329,1997739.670635,0.0,0.405431
20,22,24923.785762,76214.238443,0.0,0.397563
