node1,node2,available_bandwidth,throughput,delay,packet_loss
19,6,1544.055,5.945,0.455,0.01
19,13,24340.09,653.639,1.544,0.9
19,7,24369.815,629.87,0.926,0.01
6,19,1550.0,0.0,0.455,0
6,7,1365.701,184.207,0.823,0.01
13,19,24025.484,975.002,1.544,0.01
13,2,93005.823,6994.177,0.545,0.01
13,17,95822.413,4177.587,4.037,0.01
13,14,0,1550.907,883.713,0.01
15,20,20679.801,4320.199,0.819,0.01
15,9,16454.915,8549.347,0.035,0.01
20,15,16270.947,8723.111,0.819,0.07
20,17,95341.336,4658.664,1.266,0.01
20,22,24459.262,540.738,0.916,0.01
7,19,24792.024,208.08,0.926,0.01
7,21,99560.04,440.18,0.798,0.01
7,2,98110.15,1890.793,0.463,0.01
7,6,1199.172,351.002,0.823,0.01
7,17,99482.792,517.208,1.52,0.01
7,1,97123.749,2879.122,1.366,0.01
21,7,100000.0,0.0,0.798,0
21,18,21551.82,3452.403,0.424,0
21,3,99423.082,576.918,0.338,0.01
18,21,24399.601,600.698,0.424,0.01
18,2,21327.498,3674.334,0.251,0.01
11,3,25000.0,0.0,1.015,0
11,10,16427.112,8572.888,1.22,0.01
3,11,21658.833,3347.112,1.014,0
3,21,96664.778,3335.222,0.338,0.01
3,1,97847.86,2153.214,0.919,0.01
3,14,984.973,564.746,1.774,0.01
3,10,99411.192,588.808,1.267,0.01
1,3,99922.435,77.526,0.92,0.01
1,16,90809.94,9185.476,0.613,0.01
1,7,96883.194,3113.699,1.366,0.01
4,16,99774.197,225.915,0.893,0.01
4,2,93433.898,6569.377,1.33,0.01
16,4,100000.0,0.0,0.893,0
16,5,21783.681,3214.716,2.116,0.01
16,9,93234.434,6765.566,0.389,0.01
16,1,100000.0,0.0,0.614,0
16,10,81159.86,18840.14,0.265,0.01
5,16,11730.887,13269.786,2.116,0.04
5,8,24952.223,47.777,0.313,0.01
9,16,94922.613,5077.387,0.389,0.01
9,15,20671.94,4325.902,0.035,0.01
9,8,17217.815,7778.305,0.116,0.01
10,16,98882.314,1117.686,0.265,0.01
10,17,93495.781,6506.919,0.683,0
10,11,24458.993,541.007,1.221,0.01
10,3,97289.01699999999,2710.983,1.267,0.01
10,12,76861.526,23126.939,0.823,0.01
2,13,94776.83,5223.17,0.545,0.01
2,7,96135.661,3862.413,0.462,0.01
2,23,24958.405,41.595,0.001,0.01
2,4,95184.439,4813.161,1.33,0.01
2,18,22318.743,2679.92,0.251,0.01
2,12,93517.089,6482.911,38.278,0.01
23,2,24934.397,65.603,0.001,0.01
23,17,24975.992,24.008,0.001,0.01
12,2,91354.138,8645.862,38.278,0.01
12,10,96910.07,3091.471,0.823,0.01
12,22,98520.399,1479.601,0.602,0.01
17,13,94877.846,5122.154,4.037,0.01
17,7,99168.096,831.904,1.52,0.01
17,23,24845.503,154.497,0.001,0.01
17,20,91003.549,8996.451,1.266,0.01
17,10,100000.0,0.0,0.683,0
8,9,24904.925,95.122,0.116,0.01
8,5,14815.115,10184.885,0.313,0.01
14,13,1193.47,356.53,883.713,0.01
14,3,361.56500000000005,1189.027,1.774,0.01
22,20,24429.551,570.449,0.916,0.01
22,12,99138.385,861.615,0.603,0.01
