node1,node2,available_bandwidth,throughput,delay,packet_loss
13,14,1549.76,0.24,1.153,0.01
13,2,100000.0,0.0,0.644,0
13,17,100000.0,0.0,0.38,0
13,19,25000.0,0.0,1.142,0
14,13,1549.76,0.24,1.153,0.01
14,3,1550.0,0.0,0.001,0
6,7,1550.0,0.0,0.527,0
6,19,1550.0,0.0,0.988,0
7,6,1549.76,0.24,0.527,0.01
7,21,99999.76,0.24,0.058,0.01
7,2,100000.0,0.0,1.029,0
7,17,100000.0,0.0,0.001,0
7,1,100000.0,0.0,0.898,0
7,19,25000.0,0.0,1.273,0
3,21,99999.76,0.24,0.384,0.01
3,10,100000.0,0.0,0.45,0
3,1,100000.0,0.0,1.212,0
3,11,25000.0,0.0,0.133,0
3,14,1550.0,0.0,0.001,0
21,3,100000.0,0.0,0.384,0
21,7,100000.0,0.0,0.059,0
21,18,25000.0,0.0,1.106,0
18,21,24999.76,0.24,1.106,0.01
18,2,25000.0,0.0,1.067,0
2,7,99999.76,0.24,1.029,0.01
2,4,99999.76,0.24,0.563,0.01
2,18,24999.76,0.24,1.067,0.01
2,23,24999.76,0.24,1.008,0.01
2,12,100000.0,0.0,1.436,0
2,13,100000.0,0.0,0.645,0
4,2,100000.0,0.0,0.563,0
4,16,99999.76,0.24,0.302,0.01
12,10,100000.0,0.0,1.042,0
12,22,99999.76,0.24,0.001,0.01
12,2,100000.0,0.0,1.436,0
10,12,99999.76,0.24,1.042,0.01
10,16,99999.76,0.24,1.13,0.01
10,3,99999.76,0.24,0.45,0.01
10,11,25000.0,0.0,0.266,0
10,17,100000.0,0.0,1.35,0
17,7,100000.0,0.0,0.001,0
17,23,24999.76,0.24,0.17,0.01
17,10,100000.0,0.0,1.35,0
17,20,100000.0,0.0,0.001,0
17,13,100000.0,0.0,0.38,0
20,22,24999.76,0.24,0.001,0.01
20,15,25000.0,0.0,0.001,0
20,17,100000.0,0.0,0.001,0
22,20,24999.76,0.24,0.001,0.01
22,12,99999.76,0.24,0.001,0.01
16,10,99999.76,0.24,1.13,0.01
16,4,99999.76,0.24,0.302,0.01
16,5,24999.76,0.24,0.001,0.01
16,9,99999.76,0.24,0.597,0.01
16,1,99999.76,0.24,0.896,0.01
5,16,24999.76,0.24,0.001,0.01
5,8,25000.0,0.0,0.001,0
9,16,99999.76,0.24,0.598,0.01
9,15,25000.0,0.0,0.597,0
9,8,25000.0,0.0,0.001,0
1,16,99999.76,0.24,0.896,0.01
1,3,99999.76,0.24,1.212,0.01
1,7,100000.0,0.0,0.898,0
23,17,24999.76,0.24,0.17,0.01
23,2,24999.76,0.24,1.008,0.01
11,10,25000.0,0.0,0.266,0
11,3,25000.0,0.0,0.133,0
15,20,25000.0,0.0,0.001,0
15,9,25000.0,0.0,0.597,0
8,9,25000.0,0.0,0.001,0
8,5,25000.0,0.0,0.001,0
19,7,25000.0,0.0,1.273,0
19,13,25000.0,0.0,1.141,0
19,6,1550.0,0.0,0.988,0
