node1,node2,available_bandwidth,throughput,delay,packet_loss
19,13,24863.185,136.815,1.416,0.01
19,7,24900.31,99.69,1.229,0.01
19,6,1547.324,2.676,1.049,0.01
13,19,24526.494,479.457,1.416,0
13,17,97843.862,2150.187,0.914,0.19
13,14,1490.725,59.275,1.527,0.01
13,2,99919.185,80.855,1.122,0.01
12,22,98916.372,1083.087,0.586,0.01
12,10,98954.165,1045.835,0.536,0.01
12,2,99900.29,99.76,0.475,0.01
22,12,99948.421,51.604,0.586,0.01
22,20,24793.646,206.354,1.065,0.01
17,13,99800.012,199.988,0.914,0.01
17,7,99461.831,538.169,0.818,0.01
17,20,98974.35,1025.65,0.533,0.01
17,10,99856.403,143.597,1.195,0.01
17,23,24830.191,169.894,1.486,0.01
7,17,99671.221,322.828,0.818,0.88
7,19,24715.974,284.026,1.229,0.01
7,21,99077.999,922.001,1.062,0.01
7,1,99946.676,53.324,1.802,0.01
7,6,1542.06,7.94,1.714,0.01
7,2,99926.958,73.079,1.329,0.01
20,17,99895.8,104.2,0.533,0.01
20,15,24950.95,49.05,0.321,0.01
20,22,24380.472999999998,619.527,1.065,0.01
8,5,25000.0,0.0,0.416,0
8,9,24929.23,70.77,0.199,0.01
5,8,24999.76,0.24,0.416,0.01
5,16,24506.444,493.802,0.097,0.01
15,20,24800.751,199.249,0.321,0.01
15,9,24986.269,13.731,0.22,0.01
3,21,97694.982,2305.018,0.404,0.01
3,1,99997.076,2.924,0.442,0.01
3,10,99692.613,307.387,0.396,0.01
3,14,1543.29,6.71,0.244,0.01
3,11,24994.129,5.871,0.001,0.01
21,3,99932.849,67.151,0.405,0.01
21,7,99782.111,217.889,1.062,0.01
21,18,23276.401,1724.46,1.185,0.01
1,3,99733.919,266.081,0.443,0.01
1,7,99825.186,174.814,1.801,0.01
1,16,99927.009,73.027,0.069,0.01
6,19,1546.561,3.439,1.049,0.01
6,7,1539.843,10.157,1.714,0.01
10,3,99520.276,479.724,0.396,0.01
10,12,99640.827,353.222,0.535,1.3
10,17,97141.815,2846.283,1.195,0.34
10,16,99810.552,189.542,0.053,0.01
10,11,24991.948,8.052,0.001,0.01
14,3,1543.869,6.131,0.244,0.01
14,13,1531.056,18.944,1.527,0.01
4,16,99963.361,36.639,0.113,0.01
4,2,99306.174,693.826,0.273,0.01
16,4,99966.282,33.718,0.113,0.01
16,5,24985.782,14.211,0.097,0.01
16,1,99896.987,108.913,0.069,0
16,10,98549.459,1467.67,0.053,0
16,9,99970.338,29.648,0.294,0.01
11,3,24951.469,48.531,0.001,0.01
11,10,24418.36,587.591,0.001,0
2,13,98993.455,1011.994,1.123,0
2,7,99791.369,208.527,1.329,0.01
2,4,99961.518,38.482,0.273,0.01
2,12,99804.052,195.85,0.475,0.01
2,23,24967.305,32.695,0.878,0.01
2,18,23676.539,1322.8,0.663,0.01
23,2,24987.708,12.292,0.878,0.01
23,17,24962.589,37.392,1.485,0.01
18,2,24796.038,204.064,0.663,0.01
18,21,24941.594,58.376,1.186,0.01
9,8,24986.273,13.727,0.199,0.01
9,15,24800.563,199.437,0.22,0.01
9,16,98982.123,1018.386,0.294,0.01
